date,price,bedrooms,bathrooms,sqft_living,waterfront,view,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,expensive_home,house_age,sqft_ratio,house_age_group
20140516T000000,619000.0,3,2.5,2720,0,0,9,2720,0,2005,98065,47.5422,-121.86,3180,7320,1,20,1.1691176470588236,Modern
20150324T000000,290000.0,3,2.5,1610,0,0,8,1610,0,2006,98055,47.4489,-122.188,1610,3049,0,19,1.0,Modern
20140902T000000,296000.0,4,2.5,1780,0,0,7,1780,0,2006,98038,47.3665,-122.017,2020,3802,0,19,1.1348314606741574,Modern
20140722T000000,372500.0,2,2.5,1400,0,0,8,1400,0,2007,98126,47.5496,-122.373,1540,2385,0,18,1.1,Modern
20141002T000000,595000.0,3,2.5,3370,0,2,9,3370,0,2004,98045,47.5008,-121.776,3330,9691,1,21,0.9881305637982196,Modern
20141009T000000,507000.0,2,1.75,1670,0,0,8,1670,0,2004,98053,47.7123,-122.027,2170,6254,1,21,1.2994011976047903,Modern
20140610T000000,695000.0,3,2.75,2540,0,0,9,2540,0,2005,98074,47.6214,-122.024,2600,6344,1,20,1.0236220472440944,Modern
20140808T000000,559950.0,3,2.5,1660,0,0,9,1660,0,2014,98144,47.5876,-122.309,1660,1784,1,11,1.0,Modern
20150512T000000,729500.0,3,2.5,1660,0,1,9,1530,130,2015,98116,47.5818,-122.402,1510,1352,1,10,0.9096385542168675,New
20140930T000000,430000.0,3,2.5,2360,0,0,7,2360,0,2003,98065,47.5317,-121.853,2360,4744,0,22,1.0,Modern
20150102T000000,748000.0,4,3.5,2770,0,0,8,1970,800,2001,98052,47.6327,-122.109,2180,3380,1,24,0.7870036101083032,Modern
20140527T000000,312000.0,3,1.5,1255,0,0,7,1255,0,2004,98125,47.7145,-122.311,1307,1232,0,21,1.0414342629482072,Modern
20140514T000000,306000.0,3,1.5,1220,0,0,8,1220,0,2007,98133,47.7049,-122.353,1220,1422,0,18,1.0,Modern
20140930T000000,655000.0,4,2.5,2630,0,0,8,2630,0,2002,98117,47.6915,-122.381,1640,4000,1,23,0.623574144486692,Modern
20140731T000000,1145000.0,4,3.5,4370,0,0,11,4370,0,2001,98065,47.544,-121.872,4190,13641,1,24,0.9588100686498856,Modern
20140609T000000,609900.0,4,2.5,3190,0,0,10,3190,0,2006,98038,47.3558,-122.004,3250,7323,1,19,1.0188087774294672,Modern
20150105T000000,802541.0,5,2.75,2990,0,0,9,2990,0,2014,98006,47.5462,-122.182,2870,6768,1,11,0.959866220735786,Modern
20150311T000000,507000.0,4,2.5,2730,0,0,7,2730,0,2006,98065,47.5441,-121.882,2730,6216,1,19,1.0,Modern
20140808T000000,289950.0,3,2.5,1670,0,0,7,1670,0,2002,98038,47.3668,-122.031,2390,6924,0,23,1.4311377245508983,Modern
20150420T000000,636000.0,3,2.5,2140,0,0,8,1770,370,2007,98052,47.6664,-122.131,2510,2708,1,18,1.1728971962616823,Modern
20140918T000000,350000.0,5,3.0,2520,0,0,8,1550,970,2004,98178,47.4938,-122.255,1700,8000,0,21,0.6746031746031746,Modern
20140508T000000,403000.0,3,2.75,2090,0,0,8,2090,0,2012,98019,47.7336,-121.965,2280,6348,0,13,1.0909090909090908,Modern
20150113T000000,347500.0,4,2.5,2156,0,0,9,2156,0,2012,98030,47.3591,-122.201,1708,3539,0,13,0.7922077922077922,Modern
20140605T000000,449950.0,3,2.5,2170,0,0,7,2170,0,2003,98028,47.7767,-122.239,2010,4395,0,22,0.9262672811059908,Modern
20140828T000000,699800.0,2,2.5,2380,0,0,8,2380,0,2010,98053,47.717,-122.02,1870,6600,1,15,0.7857142857142857,Modern
20140911T000000,400000.0,3,2.25,1190,0,0,8,1050,140,2008,98116,47.5818,-122.387,1210,1316,0,17,1.0168067226890756,Modern
20150227T000000,374950.0,4,2.75,2730,0,0,7,2730,0,2005,98038,47.3608,-122.043,2230,4924,0,20,0.8168498168498168,Modern
20140615T000000,269950.0,3,2.5,1890,0,0,8,1730,160,2002,98168,47.4802,-122.279,1910,7409,0,23,1.0105820105820107,Modern
20141118T000000,320000.0,3,1.5,1240,0,0,8,1050,190,2009,98133,47.7073,-122.356,1180,887,0,16,0.9516129032258065,Modern
20150107T000000,625000.0,5,2.5,2990,0,0,9,2990,0,2007,98011,47.746,-122.218,3150,13076,1,18,1.0535117056856187,Modern
20140908T000000,581000.0,3,2.5,2600,0,0,7,2600,0,2004,98053,47.6799,-122.034,2600,4904,1,21,1.0,Modern
20141016T000000,419000.0,2,2.25,1180,0,0,8,840,340,2008,98122,47.6124,-122.309,1310,1963,0,17,1.1101694915254237,Modern
20150512T000000,347000.0,3,2.5,1680,0,0,7,1680,0,2004,98056,47.4802,-122.179,2160,4182,0,21,1.2857142857142858,Modern
20141223T000000,379000.0,3,3.25,2660,0,0,8,2660,0,2014,98010,47.3077,-122.011,1320,11876,0,11,0.49624060150375937,Modern
20140814T000000,682000.0,5,2.75,2760,0,0,9,2760,0,2005,98059,47.539,-122.188,2870,5030,1,20,1.039855072463768,Modern
20140806T000000,310950.0,4,2.5,2030,0,0,8,2030,0,2004,98031,47.393,-122.184,2095,5500,0,21,1.0320197044334976,Modern
20140718T000000,430000.0,2,1.75,1350,0,0,8,1350,0,2004,98053,47.7176,-122.033,1350,4479,0,21,1.0,Modern
20150513T000000,419950.0,2,1.75,1350,0,0,8,1350,0,2004,98053,47.7176,-122.033,1350,4479,0,21,1.0,Modern
20150107T000000,332000.0,4,2.5,2470,0,0,8,2470,0,2002,98092,47.3337,-122.191,2100,5972,0,23,0.8502024291497976,Modern
20141209T000000,456500.0,4,3.5,2000,0,0,8,2000,0,2008,98177,47.7027,-122.361,1440,1548,0,17,0.72,Modern
20140731T000000,438000.0,3,2.5,1520,0,0,8,1180,340,2006,98136,47.5446,-122.385,1270,1718,0,19,0.8355263157894737,Modern
20140812T000000,370500.0,4,2.5,1790,0,0,7,1790,0,2005,98059,47.4829,-122.128,1950,5660,0,20,1.089385474860335,Modern
20150303T000000,910000.0,3,3.5,2480,0,0,10,2480,0,2010,98144,47.5951,-122.307,1980,3200,1,15,0.7983870967741935,Modern
20150427T000000,467000.0,3,2.5,3460,0,0,7,3460,0,2001,98056,47.4802,-122.188,2490,6312,0,24,0.7196531791907514,Modern
20140715T000000,466000.0,2,1.5,1140,0,0,7,1140,0,2005,98103,47.6608,-122.333,1170,1116,0,20,1.0263157894736843,Modern
20140530T000000,395000.0,4,2.5,2910,0,0,8,2910,0,2002,98042,47.3782,-122.127,2740,5045,0,23,0.9415807560137457,Modern
20140811T000000,209000.0,3,2.0,1230,0,0,7,1020,210,2003,98106,47.526,-122.361,1260,1312,0,22,1.024390243902439,Modern
20140509T000000,839900.0,4,3.5,3810,0,1,9,2560,1250,2013,98056,47.5134,-122.2,3230,9311,1,12,0.847769028871391,Modern
20140714T000000,200000.0,1,1.5,1010,0,0,8,950,60,2007,98126,47.5492,-122.372,1360,1688,0,18,1.3465346534653466,Modern
20141023T000000,570000.0,3,3.25,1570,0,0,8,1260,310,2007,98107,47.6655,-122.369,1000,1777,1,18,0.6369426751592356,Modern
20150514T000000,359000.0,2,2.75,1370,0,0,8,1080,290,2009,98133,47.7052,-122.343,1370,1090,0,16,1.0,Modern
20140902T000000,300000.0,3,2.5,1320,0,0,7,1320,0,2005,98118,47.5355,-122.283,1320,2533,0,20,1.0,Modern
20150205T000000,378000.0,4,2.5,2790,0,0,8,2790,0,2004,98038,47.3556,-122.026,2820,4650,0,21,1.010752688172043,Modern
20140811T000000,971000.0,5,3.5,4390,0,0,9,3350,1040,2005,98125,47.7174,-122.282,2010,8400,1,20,0.45785876993166286,Modern
20140806T000000,648000.0,4,2.5,2620,0,0,9,2620,0,2001,98074,47.6301,-122.019,2590,5371,1,24,0.9885496183206107,Modern
20150310T000000,420000.0,2,2.75,1760,0,0,8,1760,0,2010,98065,47.5175,-121.878,1870,3076,0,15,1.0625,Modern
20140529T000000,535000.0,3,2.5,1360,0,0,7,1310,50,2003,98115,47.6774,-122.324,1365,1156,1,22,1.0036764705882353,Modern
20140614T000000,530000.0,3,2.5,1930,0,0,8,1930,0,2005,98125,47.7191,-122.309,1930,7266,1,20,1.0,Modern
20141218T000000,245000.0,3,2.25,1422,0,0,7,1422,0,2012,98092,47.3204,-122.178,1677,3677,0,13,1.1793248945147679,Modern
20141119T000000,515000.0,3,2.5,2430,0,0,8,2430,0,2001,98065,47.5346,-121.875,2500,4798,1,24,1.02880658436214,Modern
20150417T000000,2450000.0,4,4.25,4250,0,3,10,2870,1380,2008,98144,47.5747,-122.283,3640,8841,1,17,0.8564705882352941,Modern
20150429T000000,554000.0,2,2.0,1920,0,0,8,1920,0,2003,98053,47.7107,-122.031,1670,5200,1,22,0.8697916666666666,Modern
20150220T000000,380000.0,4,2.5,2000,0,0,8,2000,0,2003,98038,47.3559,-122.014,2430,6339,0,22,1.215,Modern
20150202T000000,935000.0,4,4.5,5670,0,2,11,5670,0,2008,98010,47.323,-122.044,4100,83729,1,17,0.7231040564373897,Modern
20140716T000000,1035480.0,5,3.25,4475,0,0,9,4475,0,2014,98053,47.6849,-122.018,3720,6633,1,11,0.8312849162011173,Modern
20150210T000000,448000.0,3,2.25,1530,0,0,7,1530,0,2003,98053,47.6817,-122.035,1560,3064,0,22,1.0196078431372548,Modern
20150114T000000,435000.0,3,2.5,1560,0,0,7,1560,0,2002,98053,47.687,-122.043,1600,3152,0,23,1.0256410256410255,Modern
20150406T000000,285000.0,2,1.5,990,0,0,7,990,0,2001,98133,47.7218,-122.356,1050,1380,0,24,1.0606060606060606,Modern
20141110T000000,1570000.0,5,4.5,6070,0,0,11,6070,0,2004,98059,47.5306,-122.134,4750,13404,1,21,0.7825370675453048,Modern
20140602T000000,285000.0,2,2.5,1380,0,0,7,1140,240,2011,98126,47.5462,-122.369,1580,2036,0,14,1.144927536231884,Modern
20141230T000000,609850.0,2,2.75,1910,0,0,9,1910,0,2002,98119,47.6544,-122.373,1910,1879,1,23,1.0,Modern
20150306T000000,367000.0,4,2.5,2960,0,0,9,2960,0,2006,98038,47.3603,-122.037,2960,5361,0,19,1.0,Modern
20150324T000000,624000.0,5,3.75,3570,0,0,9,3570,0,2005,98019,47.7377,-121.974,3160,7882,1,20,0.8851540616246498,Modern
20150311T000000,552500.0,4,3.5,3710,0,0,8,2290,1420,2002,98056,47.5041,-122.186,1720,4276,1,23,0.4636118598382749,Modern
20140711T000000,975000.0,5,4.5,4300,0,0,10,4300,0,2004,98029,47.5557,-122.027,3950,12250,1,21,0.9186046511627907,Modern
20140625T000000,1200000.0,4,1.75,3990,0,0,11,3990,0,2006,98059,47.5305,-122.131,5790,13709,1,19,1.4511278195488722,Modern
20140916T000000,219000.0,2,2.0,1310,0,0,6,1310,0,2004,98038,47.3496,-122.022,1310,2550,0,21,1.0,Modern
20140507T000000,510000.0,4,2.5,2430,0,0,8,2430,0,2003,98155,47.7402,-122.317,2260,7474,1,22,0.9300411522633745,Modern
20140729T000000,305000.0,4,2.5,2230,0,0,8,2230,0,2003,98031,47.3919,-122.184,2230,6137,0,22,1.0,Modern
20141002T000000,315000.0,3,2.5,1570,0,0,7,1570,0,2003,98118,47.5412,-122.288,1610,2582,0,22,1.0254777070063694,Modern
20140507T000000,1150000.0,4,4.0,4460,0,0,11,4460,0,2001,98053,47.634,-121.997,3470,88519,1,24,0.7780269058295964,Modern
20140903T000000,605000.0,3,2.5,2010,0,0,9,2010,0,2008,98027,47.545,-122.015,2350,3600,1,17,1.1691542288557213,Modern
20150309T000000,359000.0,3,2.5,1450,0,0,7,1450,0,2004,98065,47.5318,-121.85,1970,3748,0,21,1.3586206896551725,Modern
20140821T000000,505000.0,3,2.0,1500,0,0,8,1500,0,2002,98107,47.6748,-122.385,1550,5000,1,23,1.0333333333333334,Modern
20140626T000000,826000.0,4,2.5,3060,0,0,9,3060,0,2006,98027,47.5393,-121.998,3240,6218,1,19,1.0588235294117647,Modern
20140605T000000,875000.0,3,3.5,3250,0,0,10,2500,750,2001,98136,47.5533,-122.391,1650,6000,1,24,0.5076923076923077,Modern
20150324T000000,334950.0,3,2.5,1620,0,0,8,1620,0,2002,98058,47.4491,-122.12,1900,2943,0,23,1.1728395061728396,Modern
20140509T000000,254000.0,3,2.5,1850,0,0,8,1850,0,2003,98042,47.3755,-122.136,2210,5000,0,22,1.1945945945945946,Modern
20140520T000000,479000.0,3,2.5,1260,0,0,8,1260,0,2008,98109,47.6277,-122.345,1340,1324,0,17,1.0634920634920635,Modern
20141212T000000,460000.0,4,2.5,4190,0,0,7,4190,0,2004,98058,47.4394,-122.114,2480,6727,0,21,0.5918854415274463,Modern
20150406T000000,245000.0,3,2.5,1600,0,0,7,1600,0,2003,98038,47.386,-122.036,1520,3225,0,22,0.95,Modern
20140606T000000,735000.0,4,2.5,2820,0,0,9,2050,770,2013,98118,47.5529,-122.281,1390,4635,1,12,0.4929078014184397,Modern
20141112T000000,457000.0,4,3.0,2800,0,0,8,2800,0,2002,98038,47.3544,-122.013,2800,6977,0,23,1.0,Modern
20140624T000000,880000.0,4,2.5,3030,0,0,9,3030,0,2005,98117,47.6781,-122.369,1080,4922,1,20,0.3564356435643564,Modern
20150419T000000,410500.0,4,2.5,1980,0,0,8,1980,0,2008,98014,47.6492,-121.908,1400,8500,0,17,0.7070707070707071,Modern
20140910T000000,1225000.0,5,4.5,3732,0,0,10,2932,800,2001,98112,47.6189,-122.288,2950,4000,1,24,0.7904608788853161,Modern
20141113T000000,449000.0,2,1.75,1510,0,0,8,1510,0,2005,98053,47.7073,-122.012,1510,5912,0,20,1.0,Modern
20141110T000000,467000.0,3,2.5,1690,0,0,7,1690,0,2004,98053,47.6793,-122.033,2120,5080,0,21,1.2544378698224852,Modern
20141113T000000,340000.0,3,2.5,1240,0,0,8,1240,0,2003,98103,47.6985,-122.34,1410,1355,0,22,1.1370967741935485,Modern
20140625T000000,2300000.0,4,3.25,4250,0,0,9,4250,0,2004,98004,47.6154,-122.21,2830,12821,1,21,0.6658823529411765,Modern
20141103T000000,363000.0,2,2.0,920,0,0,8,800,120,2009,98144,47.5926,-122.295,1150,1161,0,16,1.25,Modern
20140723T000000,750000.0,2,2.5,2630,0,0,8,2630,0,2003,98053,47.7106,-122.023,2305,7220,1,22,0.876425855513308,Modern
20150424T000000,403000.0,3,2.5,1700,0,0,7,1700,0,2004,98065,47.5305,-121.854,1970,4105,0,21,1.1588235294117648,Modern
20140808T000000,445000.0,3,2.5,2470,0,0,7,2470,0,2005,98056,47.514,-122.189,2470,5064,0,20,1.0,Modern
20150209T000000,2260000.0,3,3.5,3110,0,0,10,3110,0,2003,98004,47.6178,-122.209,3110,12433,1,22,1.0,Modern
20141014T000000,325000.0,4,2.5,2963,0,0,9,2963,0,2006,98030,47.3831,-122.185,2665,6119,0,19,0.8994262571717854,Modern
20140703T000000,835000.0,4,4.25,4930,0,0,12,4930,0,2005,98092,47.3069,-122.148,3620,23035,1,20,0.7342799188640974,Modern
20150501T000000,748000.0,3,2.5,2600,0,0,8,1300,1300,2004,98033,47.6984,-122.201,1860,10401,1,21,0.7153846153846154,Modern
20140916T000000,428000.0,2,2.0,1350,0,0,8,1350,0,2003,98053,47.7106,-122.03,1660,4225,0,22,1.2296296296296296,Modern
20150409T000000,530000.0,4,2.5,2950,0,0,7,2950,0,2006,98059,47.479,-122.129,2120,4750,1,19,0.7186440677966102,Modern
20140819T000000,600000.0,3,1.75,1620,0,0,9,1430,190,2005,98102,47.6498,-122.321,1750,1572,1,20,1.0802469135802468,Modern
